"","Estimate","Interval"
"Unfished Spawning Output","20,332","16,338–24,327"
"Unfished Age 1+ Biomass (mt)","196,023","157,510–234,536"
"Unfished Recruitment (R0)","11,550","9,281–13,820"
"Spawning Output (2023)","8,273","5,346–11,201"
"Fraction Unfished (2023)","0.41","0.33–0.49"
"Reference Points Based SB40%","",""
"Proxy Spawning Output SB40%","8,133","6,535–9,731"
"SPR Resulting in SB40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SB40%","0.012","0.011–0.012"
"Yield with SPR Based On SB40% (mt)","1,060","869–1,251"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (SPR50)","9,071","7,289–10,854"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.010","0.010–0.011"
"Yield with SPR50 at SB SPR (mt)","1,013","831–1,195"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output at MSY (SB MSY)","5,651","4,548–6,755"
"SPR MSY","0.348","0.345–0.351"
"Exploitation Rate Corresponding to SPR MSY","0.017","0.016–0.017"
"MSY (mt)","1,121","919–1,323"
